File,Number of Rows
Face_ID_-1_paths.csv,3609
Face_ID_6_paths.csv,368
Face_ID_33_paths.csv,78
Face_ID_85_paths.csv,42
Face_ID_35_paths.csv,30
Face_ID_14_paths.csv,28
Face_ID_52_paths.csv,27
Face_ID_108_paths.csv,25
Face_ID_23_paths.csv,24
Face_ID_102_paths.csv,23
Face_ID_26_paths.csv,21
Face_ID_109_paths.csv,21
Face_ID_106_paths.csv,21
Face_ID_103_paths.csv,18
Face_ID_73_paths.csv,18
Face_ID_16_paths.csv,18
Face_ID_45_paths.csv,17
Face_ID_63_paths.csv,17
Face_ID_17_paths.csv,17
Face_ID_2_paths.csv,16
Face_ID_44_paths.csv,14
Face_ID_22_paths.csv,14
Face_ID_27_paths.csv,13
Face_ID_101_paths.csv,13
Face_ID_42_paths.csv,12
Face_ID_88_paths.csv,12
Face_ID_133_paths.csv,12
Face_ID_40_paths.csv,12
Face_ID_43_paths.csv,11
Face_ID_18_paths.csv,11
Face_ID_94_paths.csv,11
Face_ID_9_paths.csv,11
Face_ID_41_paths.csv,11
Face_ID_51_paths.csv,10
Face_ID_148_paths.csv,10
Face_ID_74_paths.csv,10
Face_ID_121_paths.csv,10
Face_ID_0_paths.csv,9
Face_ID_122_paths.csv,9
Face_ID_117_paths.csv,9
Face_ID_65_paths.csv,9
Face_ID_77_paths.csv,9
Face_ID_36_paths.csv,9
Face_ID_55_paths.csv,9
Face_ID_67_paths.csv,9
Face_ID_135_paths.csv,9
Face_ID_78_paths.csv,9
Face_ID_95_paths.csv,8
Face_ID_136_paths.csv,8
Face_ID_20_paths.csv,8
Face_ID_71_paths.csv,8
Face_ID_104_paths.csv,8
Face_ID_72_paths.csv,8
Face_ID_79_paths.csv,8
Face_ID_107_paths.csv,8
Face_ID_90_paths.csv,8
Face_ID_89_paths.csv,8
Face_ID_81_paths.csv,7
Face_ID_34_paths.csv,7
Face_ID_147_paths.csv,7
Face_ID_57_paths.csv,7
Face_ID_62_paths.csv,7
Face_ID_86_paths.csv,7
Face_ID_21_paths.csv,7
Face_ID_7_paths.csv,7
Face_ID_38_paths.csv,7
Face_ID_56_paths.csv,7
Face_ID_125_paths.csv,7
Face_ID_11_paths.csv,7
Face_ID_66_paths.csv,7
Face_ID_134_paths.csv,7
Face_ID_4_paths.csv,7
Face_ID_91_paths.csv,7
Face_ID_60_paths.csv,7
Face_ID_126_paths.csv,7
Face_ID_100_paths.csv,7
Face_ID_5_paths.csv,7
Face_ID_75_paths.csv,7
Face_ID_8_paths.csv,7
Face_ID_141_paths.csv,6
Face_ID_64_paths.csv,6
Face_ID_70_paths.csv,6
Face_ID_87_paths.csv,6
Face_ID_130_paths.csv,6
Face_ID_49_paths.csv,6
Face_ID_80_paths.csv,6
Face_ID_137_paths.csv,6
Face_ID_19_paths.csv,6
Face_ID_83_paths.csv,6
Face_ID_30_paths.csv,6
Face_ID_53_paths.csv,6
Face_ID_151_paths.csv,6
Face_ID_58_paths.csv,6
Face_ID_113_paths.csv,6
Face_ID_25_paths.csv,6
Face_ID_37_paths.csv,6
Face_ID_59_paths.csv,6
Face_ID_149_paths.csv,6
Face_ID_61_paths.csv,6
Face_ID_69_paths.csv,5
Face_ID_13_paths.csv,5
Face_ID_155_paths.csv,5
Face_ID_48_paths.csv,5
Face_ID_32_paths.csv,5
Face_ID_98_paths.csv,5
Face_ID_93_paths.csv,5
Face_ID_39_paths.csv,5
Face_ID_111_paths.csv,5
Face_ID_76_paths.csv,5
Face_ID_124_paths.csv,5
Face_ID_154_paths.csv,5
Face_ID_68_paths.csv,5
Face_ID_12_paths.csv,5
Face_ID_123_paths.csv,5
Face_ID_116_paths.csv,5
Face_ID_99_paths.csv,5
Face_ID_128_paths.csv,5
Face_ID_110_paths.csv,5
Face_ID_29_paths.csv,5
Face_ID_47_paths.csv,5
Face_ID_115_paths.csv,5
Face_ID_145_paths.csv,5
Face_ID_132_paths.csv,5
Face_ID_3_paths.csv,5
Face_ID_138_paths.csv,5
Face_ID_46_paths.csv,5
Face_ID_114_paths.csv,5
Face_ID_28_paths.csv,5
Face_ID_84_paths.csv,5
Face_ID_127_paths.csv,5
Face_ID_112_paths.csv,5
Face_ID_54_paths.csv,5
Face_ID_158_paths.csv,4
Face_ID_153_paths.csv,4
Face_ID_50_paths.csv,4
Face_ID_92_paths.csv,4
Face_ID_152_paths.csv,4
Face_ID_146_paths.csv,4
Face_ID_143_paths.csv,4
Face_ID_139_paths.csv,4
Face_ID_82_paths.csv,4
Face_ID_31_paths.csv,4
Face_ID_150_paths.csv,4
Face_ID_15_paths.csv,3
Face_ID_129_paths.csv,3
Face_ID_105_paths.csv,3
Face_ID_1_paths.csv,3
Face_ID_131_paths.csv,3
Face_ID_97_paths.csv,3
Face_ID_118_paths.csv,3
Face_ID_119_paths.csv,3
Face_ID_10_paths.csv,3
Face_ID_144_paths.csv,3
Face_ID_140_paths.csv,2
Face_ID_24_paths.csv,2
Face_ID_120_paths.csv,2
Face_ID_96_paths.csv,2
Face_ID_156_paths.csv,2
Face_ID_157_paths.csv,1
Face_ID_142_paths.csv,1
